,importance
evap_moist_interact,0.25292057
ESoil_tavg,0.10118248
wind_moist_interact,0.09809679
RootMoist_inst,0.067920186
year_trend,0.04013502
LWdown_f_tavg,0.03668422
Qle_tavg,0.027315004
SWdown_f_tavg,0.024860647
SoilMoi40_100cm_inst,0.02216804
Tveg_tavg,0.020934185
Psurf_f_inst,0.017619953
Qair_f_inst,0.015457165
Qg_tavg,0.015327692
soil_evap_ratio,0.0148110315
Evap_tavg,0.014066412
SoilMoi100_200cm_inst,0.01389184
SoilTMP100_200cm_inst,0.013269163
SoilMoi10_40cm_inst,0.012719711
Rainf_tavg,0.012575348
Rainf_f_tavg,0.012174264
SoilTMP10_40cm_inst,0.011380952
Albedo_inst,0.010189066
Snowf_tavg,0.010169055
SoilMoi0_10cm_inst,0.009798808
Qs_acc,0.009481433
AvgSurfT_inst,0.008884118
ECanop_tavg,0.00841768
Tair_f_inst,0.008044057
Wind_f_inst,0.007987076
SnowDepth_inst,0.0077618463
SWE_inst,0.0070109447
temp_pca2,0.0068401364
Qsb_acc,0.006710695
temp_gradient,0.006512667
Swnet_tavg,0.006379454
Lwnet_tavg,0.006163147
Qsm_acc,0.005654598
temp_pca1,0.0052406634
SoilTMP40_100cm_inst,0.0052386983
CanopInt_inst,0.0051282384
Qh_tavg,0.0047941543
PotEvap_tavg,0.0047818567
SoilTMP0_10cm_inst,0.0033010154
county_name_encoded,0.0
