Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
MilleLacs,-93.6301,45.938,1240,2000-01,0.4,-0.7,11,22.6,5.2,0.16,1.85
MilleLacs,-93.6301,45.938,1240,2000-02,1.83,11,21.8,32.6,16.7,0.14,2.75
MilleLacs,-93.6301,45.938,1240,2000-03,1.07,24.5,36.4,48.3,25.9,0.35,7.47
MilleLacs,-93.6301,45.938,1240,2000-04,0.9,30.1,41.7,53.3,27.6,0.61,10.18
MilleLacs,-93.6301,45.938,1240,2000-05,2.38,45,56.9,68.7,44.2,0.72,15.27
MilleLacs,-93.6301,45.938,1240,2000-06,4.03,49.6,60.9,72.2,52.8,0.28,13.97
MilleLacs,-93.6301,45.938,1240,2000-07,6.18,56.4,67.5,78.6,59.9,0.22,15.64
MilleLacs,-93.6301,45.938,1240,2000-08,1.17,55.5,66.9,78.3,59.8,0.24,15.22
MilleLacs,-93.6301,45.938,1240,2000-09,0.95,41.9,55,68.2,45.5,0.41,13.41
MilleLacs,-93.6301,45.938,1240,2000-10,1.9,35.8,47.6,59.5,38,0.36,9.83
MilleLacs,-93.6301,45.938,1240,2000-11,4.63,23.3,29.8,36.3,25.6,0.2,2.48
MilleLacs,-93.6301,45.938,1240,2000-12,0.8,-5.8,3.2,12.2,-0.6,0.13,0.88
MilleLacs,-93.6301,45.938,1240,2001-01,0.98,5.2,15.4,25.5,12.4,0.12,1.43
MilleLacs,-93.6301,45.938,1240,2001-02,1.75,-8.5,4.6,17.7,2.6,0.08,1.19
MilleLacs,-93.6301,45.938,1240,2001-03,0.9,11.8,23.8,35.8,17.3,0.15,3.49
MilleLacs,-93.6301,45.938,1240,2001-04,7.3,32.5,41.8,51.2,33.2,0.47,7.36
MilleLacs,-93.6301,45.938,1240,2001-05,4.18,44.8,55.7,66.6,45.1,0.5,12.84
MilleLacs,-93.6301,45.938,1240,2001-06,6.61,54.5,64.2,74,55.5,0.69,13.69
MilleLacs,-93.6301,45.938,1240,2001-07,3.32,58.2,69.2,80.3,59.6,0.62,17.45
