fips,county_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
27001,AITKIN,,,117613.0,,,,,33500.0,,,308000.0,,207706.0,163300.0,77500.0,,73800.0,125068.0,45200.0,,92900.0,75600.0,131840.0,90900.0,167000.0
27003,ANOKA,795600.0,719400.0,1000879.0,636400.0,604800.0,633600.0,529200.0,1061674.0,700000.0,984000.0,943000.0,785000.0,1740785.0,808000.0,700000.0,979000.0,1122000.0,1762557.0,732000.0,,803000.0,458000.0,502239.0,,547000.0
27005,BECKER,1449600.0,1034000.0,1629672.0,1302900.0,876300.0,1737500.0,2154600.0,4514135.0,,,4710000.0,5150000.0,10498515.0,8016000.0,5739000.0,,9056000.0,9713439.0,9699000.0,9330000.0,8008000.0,9743000.0,12090339.0,12997000.0,11465000.0
27007,BELTRAMI,78400.0,48500.0,83588.0,27200.0,,,,59117.0,,,,,324877.0,380000.0,,,281000.0,258648.0,,,259000.0,123000.0,256010.0,,
27009,BENTON,4967400.0,3334500.0,6311638.0,5321800.0,6795400.0,6858600.0,5368000.0,3651312.0,6250000.0,7872000.0,7742000.0,4245000.0,7677034.0,5009000.0,3559000.0,8047000.0,8702000.0,8640821.0,7651000.0,6910000.0,8174000.0,5003000.0,6414145.0,7851000.0,9176000.0
27011,BIG STONE,9841800.0,8707500.0,9928993.0,8307000.0,11607100.0,12235600.0,11919500.0,10921485.0,12960000.0,14385000.0,13883000.0,10155000.0,13891117.0,15150000.0,15481000.0,15773000.0,17872000.0,17299191.0,19317000.0,14410000.0,17918000.0,19172000.0,15223986.0,20390000.0,15879000.0
27013,BLUE EARTH,26773200.0,21628100.0,27675075.0,28732800.0,32904000.0,32991200.0,31342500.0,32504143.0,32700000.0,34647000.0,31924000.0,33300000.0,29441207.0,36957000.0,29778000.0,38292000.0,36219000.0,34834244.0,30615000.0,34247000.0,35618000.0,35992000.0,46453017.0,36852000.0,30518000.0
27015,BROWN,21929600.0,19446100.0,19434079.0,24005300.0,26100000.0,26083200.0,26036500.0,24489175.0,26090000.0,27074000.0,28006000.0,25605000.0,24108561.0,28040000.0,26690000.0,28498000.0,29478000.0,30030304.0,22267000.0,23809000.0,31635000.0,27050000.0,26682697.0,29714000.0,25730000.0
27017,CARLTON,20800.0,18000.0,54172.0,16000.0,,,,66298.0,,,75000.0,,61555.0,43700.0,,,15200.0,27220.0,20800.0,,,,29238.0,17300.0,
27019,CARVER,8374000.0,6746500.0,8916166.0,8047500.0,9362400.0,10037700.0,8850900.0,10430672.0,8880000.0,10239000.0,10302000.0,8620000.0,10450283.0,8906000.0,5070000.0,11470000.0,11631000.0,12823369.0,9471000.0,8109000.0,9865000.0,9030000.0,11439765.0,9841000.0,7280000.0
27021,CASS,340200.0,349800.0,329257.0,378000.0,,297600.0,,303305.0,,,,,637424.0,,,,732000.0,466732.0,,,645000.0,,222624.0,375000.0,
27023,CHIPPEWA,21250500.0,19232400.0,19484667.0,21006900.0,22467600.0,25203200.0,23162900.0,25032252.0,22720000.0,25627000.0,26419000.0,22440000.0,26808988.0,29062000.0,24227000.0,27826000.0,29824000.0,28879671.0,25742000.0,22586000.0,,26852000.0,32869161.0,28358000.0,
27025,CHISAGO,2703200.0,1774500.0,2769026.0,1848300.0,2668000.0,2692400.0,2316500.0,2604720.0,3250000.0,3415000.0,3756000.0,3505000.0,3555546.0,3760000.0,2331000.0,4224000.0,3529000.0,4090380.0,3576000.0,3255000.0,3854000.0,3758000.0,3206533.0,4025000.0,3161000.0
27027,CLAY,4338200.0,3161600.0,4306695.0,4305600.0,4794400.0,5133000.0,5480800.0,11085749.0,13550000.0,10276000.0,13975000.0,12890000.0,23871230.0,20135000.0,14196000.0,18197000.0,24536000.0,25224229.0,25036000.0,25245000.0,17525000.0,23796000.0,25402028.0,26823000.0,24285000.0
27029,CLEARWATER,150000.0,38000.0,154666.0,214000.0,,45500.0,115600.0,491511.0,220000.0,,182000.0,250000.0,451843.0,,,,,583027.0,,973000.0,966000.0,676000.0,528337.0,,1100000.0
