Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",TOTAL,NOT SPECIFIED,347,22.6
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,823,000",(L)
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"16,780",19.7
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, (EXCL CONSERVATION & WETLANDS) - OPERATIONS WITH RECEIPTS",TOTAL,NOT SPECIFIED,274,32.4
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, (EXCL CONSERVATION & WETLANDS) - RECEIPTS, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,637,000",0.1
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, (EXCL CONSERVATION & WETLANDS) - RECEIPTS, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"20,574",14.6
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, CONSERVATION & WETLANDS - OPERATIONS WITH RECEIPTS",TOTAL,NOT SPECIFIED,102,18.4
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, CONSERVATION & WETLANDS - RECEIPTS, MEASURED IN $",TOTAL,NOT SPECIFIED,"186,000",(L)
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL, CONSERVATION & WETLANDS - RECEIPTS, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"1,820",22
CENSUS,2022,YEAR,,COUNTY,MINNESOTA,27,CENTRAL,50,BENTON,9,,,0,,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",TOTAL,NOT SPECIFIED,381,19.8
