PRISM Time Series Data
Locations: 87
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2024-11-01 - 2025-10-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
MilleLacs,-93.6301,45.9380,1240,2024-11-01,0.61,23.1,30.9,38.8,28.1,0.16,2.26
MilleLacs,-93.6301,45.9380,1240,2024-11-02,0.00,31.1,35.8,40.5,30.2,0.35,3.55
MilleLacs,-93.6301,45.9380,1240,2024-11-03,0.00,33.1,39.8,46.4,36.8,0.18,2.75
MilleLacs,-93.6301,45.9380,1240,2024-11-04,0.11,38.8,43.4,48.0,43.4,0.01,1.72
MilleLacs,-93.6301,45.9380,1240,2024-11-05,0.04,41.1,46.2,51.3,42.8,0.02,2.84
MilleLacs,-93.6301,45.9380,1240,2024-11-06,0.14,29.2,36.4,43.6,35.7,0.07,2.39
MilleLacs,-93.6301,45.9380,1240,2024-11-07,0.00,27.7,38.0,48.2,35.6,0.06,4.25
MilleLacs,-93.6301,45.9380,1240,2024-11-08,0.00,29.8,37.3,44.8,31.4,0.21,3.74
MilleLacs,-93.6301,45.9380,1240,2024-11-09,0.02,28.3,41.7,55.1,27.7,0.57,9.21
MilleLacs,-93.6301,45.9380,1240,2024-11-10,0.04,32.6,40.2,47.9,38.0,0.18,3.94
MilleLacs,-93.6301,45.9380,1240,2024-11-11,0.01,35.0,42.2,49.4,39.9,0.05,3.24
MilleLacs,-93.6301,45.9380,1240,2024-11-12,0.00,24.2,33.5,42.9,23.9,0.50,4.71
MilleLacs,-93.6301,45.9380,1240,2024-11-13,0.00,26.3,34.8,43.3,29.3,0.65,4.15
MilleLacs,-93.6301,45.9380,1240,2024-11-14,0.12,36.1,38.2,40.2,37.1,0.11,1.36
MilleLacs,-93.6301,45.9380,1240,2024-11-15,0.00,30.0,36.7,43.4,37.7,0.07,1.52
MilleLacs,-93.6301,45.9380,1240,2024-11-16,0.00,29.0,38.3,47.6,36.1,0.04,2.80
MilleLacs,-93.6301,45.9380,1240,2024-11-17,0.00,36.4,44.1,51.8,38.4,0.28,4.87
MilleLacs,-93.6301,45.9380,1240,2024-11-18,0.00,27.4,38.0,48.6,30.5,0.08,5.84
MilleLacs,-93.6301,45.9380,1240,2024-11-19,1.36,28.2,40.2,52.1,37.4,0.13,7.45
MilleLacs,-93.6301,45.9380,1240,2024-11-20,0.18,28.6,39.9,51.2,34.2,0.08,2.78
MilleLacs,-93.6301,45.9380,1240,2024-11-21,0.06,24.2,28.3,32.5,23.8,0.28,1.60
MilleLacs,-93.6301,45.9380,1240,2024-11-22,0.00,31.0,35.7,40.5,29.5,0.67,2.64
MilleLacs,-93.6301,45.9380,1240,2024-11-23,0.00,27.2,31.5,35.7,27.2,0.26,1.91
MilleLacs,-93.6301,45.9380,1240,2024-11-24,0.00,27.5,31.7,35.8,23.9,0.69,2.56
MilleLacs,-93.6301,45.9380,1240,2024-11-25,0.07,28.5,31.2,33.9,26.4,0.18,1.91
MilleLacs,-93.6301,45.9380,1240,2024-11-26,0.00,10.9,20.6,30.4,14.0,0.20,1.73
MilleLacs,-93.6301,45.9380,1240,2024-11-27,0.00,11.0,16.4,21.9,14.4,0.34,0.97
MilleLacs,-93.6301,45.9380,1240,2024-11-28,0.00,16.7,19.8,22.9,15.1,0.36,1.17
MilleLacs,-93.6301,45.9380,1240,2024-11-29,0.02,10.1,15.2,20.3,8.9,0.46,1.16
MilleLacs,-93.6301,45.9380,1240,2024-11-30,0.00,-1.1,6.4,13.9,1.4,0.33,0.93
MilleLacs,-93.6301,45.9380,1240,2024-12-01,0.00,-1.7,5.3,12.3,-2.5,0.27,1.12
MilleLacs,-93.6301,45.9380,1240,2024-12-02,0.03,4.1,9.5,14.9,7.1,0.25,0.83
MilleLacs,-93.6301,45.9380,1240,2024-12-03,0.00,10.9,14.9,19.0,11.6,0.25,0.82
MilleLacs,-93.6301,45.9380,1240,2024-12-04,0.00,11.6,20.4,29.1,16.2,0.29,1.21
MilleLacs,-93.6301,45.9380,1240,2024-12-05,0.00,3.0,17.3,31.7,2.5,0.34,1.77
