,importance
county_name_encoded,0.30227765
RootMoist_inst,0.117610194
evap_moist_interact,0.07986607
Tveg_tavg,0.06460436
year_trend,0.05865978
LWdown_f_tavg,0.03313986
Tair_f_inst,0.023931805
Psurf_f_inst,0.019082021
SWdown_f_tavg,0.017853264
SoilTMP100_200cm_inst,0.015970498
SoilMoi100_200cm_inst,0.01571657
ESoil_tavg,0.015564659
SoilMoi40_100cm_inst,0.013434513
Qair_f_inst,0.013230737
CanopInt_inst,0.013225436
Rainf_tavg,0.012070779
Rainf_f_tavg,0.011330305
Qg_tavg,0.009724224
Qle_tavg,0.00943134
temp_pca2,0.009275738
Wind_f_inst,0.00890031
SoilTMP40_100cm_inst,0.008855307
temp_gradient,0.008851134
SoilMoi0_10cm_inst,0.008575706
Qsb_acc,0.008516687
Qh_tavg,0.008059449
Snowf_tavg,0.007924783
wind_moist_interact,0.007557744
SWE_inst,0.0066927997
AvgSurfT_inst,0.0060566887
Albedo_inst,0.006047027
temp_pca1,0.00596272
soil_evap_ratio,0.0058669094
SoilMoi10_40cm_inst,0.005560046
Evap_tavg,0.005530863
ECanop_tavg,0.005004042
SnowDepth_inst,0.004936079
Swnet_tavg,0.004523667
PotEvap_tavg,0.0041299174
SoilTMP0_10cm_inst,0.003702
SoilTMP10_40cm_inst,0.0034699563
Qs_acc,0.003462935
Lwnet_tavg,0.0031441369
Qsm_acc,0.0026691891
